date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:05:50	220/220	---M--	200	added ('OK')	image/png	etag:%22f4e571d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/text-plain.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/text-plain.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:50	346/346	---M--	200	added ('OK')	image/png	etag:%22c24544d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/application-pdf.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/application-pdf.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:50	189/189	---M--	200	added ('OK')	image/png	etag:%22c24544d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/application-x-executable.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/application-x-executable.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:52	314/314	---M--	200	added ('OK')	image/png	etag:%22e1a4cd6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/audio-x-generic.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/audio-x-generic.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:54	214/214	---M--	200	added ('OK')	image/png	etag:%22331c77d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/video-x-generic.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/video-x-generic.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:54	220/220	---M--	200	added ('OK')	image/png	etag:%22f4e571d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/text-x-generic.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/text-x-generic.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:55	385/385	---M--	200	added ('OK')	image/png	etag:%2254d359d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/image-x-generic.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/image-x-generic.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:55	294/294	---M--	200	added ('OK')	image/png	etag:%2254d359d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/help.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/help.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:56	106/106	---M--	200	added ('OK')	image/png	etag:%22d88163d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/menu-expanded.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/menu-expanded.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:57	105/105	---M--	200	added ('OK')	image/png	etag:%22d88163d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/menu-collapsed.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/menu-collapsed.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:57	107/107	---M--	200	added ('OK')	image/png	etag:%22d88163d6455dc1:0%22	https://archive.calbar.ca.gov/skins/src/img/iconography/menu-collapsed-rtl.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/src/img/iconography/menu-collapsed-rtl.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
22:05:58	9960/9960	---M--	200	added ('OK')	image/png	etag:%22b9bd52d6455dc1:0%22	https://archive.calbar.ca.gov/skins/img/iconography/dots-background.png	C:/Users/ADMIN/Desktop/attorney%20search/archive.calbar.ca.gov/skins/img/iconography/dots-background.png	(from https://archive.calbar.ca.gov/skins/css/base_theme/simplytheme.css)
